,date_CYP,ncumul_conf_CYP,new_cases_CYP
2,2020-03-10,2.0,2.0
3,2020-03-11,2.0,0.0
4,2020-03-12,6.0,4.0
5,2020-03-13,6.0,0.0
6,2020-03-14,14.0,8.0
7,2020-03-15,21.0,7.0
8,2020-03-16,30.0,9.0
9,2020-03-17,40.0,10.0
10,2020-03-18,40.0,0.0
11,2020-03-19,58.0,18.0
12,2020-03-20,58.0,0.0
13,2020-03-21,67.0,9.0
14,2020-03-22,84.0,17.0
15,2020-03-23,95.0,11.0
16,2020-03-24,116.0,21.0
17,2020-03-25,124.0,8.0
18,2020-03-26,132.0,8.0
19,2020-03-27,146.0,14.0
20,2020-03-28,162.0,16.0
21,2020-03-29,179.0,17.0
22,2020-03-30,214.0,35.0
23,2020-03-31,230.0,16.0
24,2020-04-01,262.0,32.0
25,2020-04-02,320.0,58.0
26,2020-04-03,356.0,36.0
27,2020-04-04,396.0,40.0
28,2020-04-05,426.0,30.0
29,2020-04-06,446.0,20.0
30,2020-04-07,465.0,19.0
31,2020-04-08,494.0,29.0
32,2020-04-09,526.0,32.0
33,2020-04-10,564.0,38.0
34,2020-04-11,595.0,31.0
35,2020-04-12,616.0,21.0
36,2020-04-13,633.0,17.0
37,2020-04-14,662.0,29.0
38,2020-04-15,695.0,33.0
39,2020-04-16,715.0,20.0
40,2020-04-17,735.0,20.0
41,2020-04-18,735.0,0.0
42,2020-04-19,761.0,26.0
43,2020-04-20,767.0,6.0
44,2020-04-21,772.0,5.0
45,2020-04-22,784.0,12.0
46,2020-04-23,790.0,6.0
47,2020-04-24,795.0,5.0
48,2020-04-25,804.0,9.0
49,2020-04-26,810.0,6.0
50,2020-04-27,817.0,7.0
51,2020-04-28,822.0,5.0
52,2020-04-29,837.0,15.0
53,2020-04-30,843.0,6.0
54,2020-05-01,850.0,7.0
55,2020-05-02,857.0,7.0
56,2020-05-03,864.0,7.0
57,2020-05-04,872.0,8.0
58,2020-05-05,874.0,2.0
59,2020-05-06,878.0,4.0
60,2020-05-07,883.0,5.0
61,2020-05-08,889.0,6.0
62,2020-05-09,891.0,2.0
63,2020-05-10,892.0,1.0
64,2020-05-11,898.0,6.0
65,2020-05-12,901.0,3.0
66,2020-05-13,903.0,2.0
67,2020-05-14,905.0,2.0
68,2020-05-15,907.0,2.0
69,2020-05-16,910.0,3.0
70,2020-05-17,914.0,4.0
71,2020-05-18,916.0,2.0
72,2020-05-19,917.0,1.0
73,2020-05-20,918.0,1.0
74,2020-05-21,922.0,4.0
75,2020-05-22,923.0,1.0
76,2020-05-23,927.0,4.0
77,2020-05-24,927.0,0.0
78,2020-05-25,935.0,8.0
79,2020-05-26,937.0,2.0
80,2020-05-27,939.0,2.0
81,2020-05-28,939.0,0.0
82,2020-05-29,941.0,2.0
83,2020-05-30,941.0,0.0
84,2020-05-31,943.0,2.0
85,2020-06-01,944.0,1.0
86,2020-06-02,949.0,5.0
87,2020-06-03,952.0,3.0
88,2020-06-04,958.0,6.0
89,2020-06-05,958.0,0.0
90,2020-06-06,960.0,2.0
91,2020-06-07,960.0,0.0
92,2020-06-08,964.0,4.0
93,2020-06-09,970.0,6.0
94,2020-06-10,972.0,2.0
95,2020-06-11,974.0,2.0
96,2020-06-12,975.0,1.0
97,2020-06-13,980.0,5.0
98,2020-06-14,980.0,0.0
99,2020-06-15,983.0,3.0
100,2020-06-16,985.0,2.0
101,2020-06-17,985.0,0.0
102,2020-06-18,985.0,0.0
103,2020-06-19,985.0,0.0
104,2020-06-20,985.0,0.0
105,2020-06-21,985.0,0.0
106,2020-06-22,986.0,1.0
107,2020-06-23,988.0,2.0
