,date_FRA,ncumul_conf_FRA,new_cases_FRA
0,2020-03-02,191.0,191.0
1,2020-03-03,212.0,21.0
2,2020-03-04,285.0,73.0
3,2020-03-05,423.0,138.0
4,2020-03-06,613.0,190.0
5,2020-03-07,949.0,336.0
6,2020-03-08,1126.0,177.0
7,2020-03-09,1412.0,286.0
8,2020-03-10,1784.0,372.0
9,2020-03-11,2281.0,497.0
10,2020-03-12,2876.0,595.0
11,2020-03-13,3661.0,785.0
12,2020-03-14,4500.0,839.0
13,2020-03-15,5423.0,923.0
14,2020-03-16,6633.0,1210.0
15,2020-03-17,7730.0,1097.0
16,2020-03-18,9134.0,1404.0
17,2020-03-19,10995.0,1861.0
18,2020-03-20,12612.0,1617.0
19,2020-03-21,14459.0,1847.0
20,2020-03-22,16689.0,2230.0
21,2020-03-23,19856.0,3167.0
22,2020-03-24,22302.0,2446.0
23,2020-03-25,25233.0,2931.0
24,2020-03-26,29155.0,3922.0
25,2020-03-27,32964.0,3809.0
26,2020-03-28,37575.0,4611.0
27,2020-03-29,40174.0,2599.0
28,2020-03-30,44550.0,4376.0
29,2020-03-31,52128.0,7578.0
30,2020-04-01,56989.0,4861.0
31,2020-04-02,59105.0,2116.0
32,2020-04-03,64338.0,5233.0
33,2020-04-04,68605.0,4267.0
34,2020-04-05,70478.0,1873.0
35,2020-04-06,74390.0,3912.0
36,2020-04-07,78167.0,3777.0
37,2020-04-08,82048.0,3881.0
38,2020-04-09,86334.0,4286.0
39,2020-04-10,90676.0,4342.0
40,2020-04-11,93790.0,3114.0
41,2020-04-12,95403.0,1613.0
42,2020-04-13,98076.0,2673.0
43,2020-04-14,103573.0,5497.0
44,2020-04-15,106206.0,2633.0
45,2020-04-16,108847.0,2641.0
46,2020-04-17,109252.0,405.0
47,2020-04-18,111821.0,2569.0
48,2020-04-19,112606.0,785.0
49,2020-04-20,114657.0,2051.0
50,2020-04-21,117324.0,2667.0
51,2020-04-22,119151.0,1827.0
52,2020-04-23,120804.0,1653.0
53,2020-04-24,122577.0,1773.0
54,2020-04-25,124114.0,1537.0
55,2020-04-26,124575.0,461.0
56,2020-04-27,128339.0,3764.0
57,2020-04-28,129859.0,1520.0
58,2020-04-29,128442.0,-1417.0
59,2020-04-30,129581.0,1139.0
60,2020-05-01,130185.0,604.0
61,2020-05-02,130979.0,794.0
62,2020-05-03,131287.0,308.0
63,2020-05-04,131863.0,576.0
64,2020-05-05,132967.0,1104.0
65,2020-05-06,137150.0,4183.0
66,2020-05-07,137779.0,629.0
67,2020-05-08,138421.0,642.0
68,2020-05-09,138854.0,433.0
69,2020-05-10,139063.0,209.0
70,2020-05-11,139519.0,456.0
71,2020-05-12,140227.0,708.0
72,2020-05-13,140734.0,507.0
73,2020-05-14,141356.0,622.0
74,2020-05-15,141919.0,563.0
75,2020-05-16,142291.0,372.0
76,2020-05-17,142411.0,120.0
77,2020-05-18,142903.0,492.0
78,2020-05-19,143427.0,524.0
79,2020-05-20,143845.0,418.0
80,2020-05-21,144163.0,318.0
81,2020-05-22,144556.0,393.0
82,2020-05-23,144806.0,250.0
83,2020-05-24,144921.0,115.0
84,2020-05-25,145279.0,358.0
