,date_RU,ncumul_conf_RU,new_cases_RU
0,2020-03-12,34,34
1,2020-03-13,45,11
2,2020-03-14,59,14
3,2020-03-15,63,4
4,2020-03-16,91,28
5,2020-03-17,114,23
6,2020-03-18,147,33
7,2020-03-19,199,52
8,2020-03-20,253,54
9,2020-03-21,306,53
10,2020-03-22,367,61
11,2020-03-23,438,71
12,2020-03-24,495,57
13,2020-03-25,658,163
14,2020-03-26,840,182
15,2020-03-27,1036,196
16,2020-03-28,1264,228
17,2020-03-29,1534,270
18,2020-03-30,1836,302
19,2020-03-31,2337,501
20,2020-04-01,2777,440
21,2020-04-02,3548,771
22,2020-04-03,4149,601
23,2020-04-04,4731,582
24,2020-04-05,5389,658
25,2020-04-06,6343,954
26,2020-04-07,7497,1154
27,2020-04-08,8672,1175
28,2020-04-09,10131,1459
29,2020-04-10,11917,1786
30,2020-04-11,13584,1667
31,2020-04-12,15759,2175
32,2020-04-13,18328,2569
33,2020-04-14,21102,2774
34,2020-04-15,24490,3388
35,2020-04-16,27938,3448
36,2020-04-17,32008,4070
37,2020-04-18,36793,4785
38,2020-04-19,42853,6060
39,2020-04-20,47121,4268
40,2020-04-21,52763,5642
41,2020-04-22,57999,5236
42,2020-04-23,62773,4774
43,2020-04-24,68622,5849
44,2020-04-25,74588,5966
45,2020-04-26,80949,6361
46,2020-04-27,87147,6198
47,2020-04-28,93558,6411
48,2020-04-29,99399,5841
49,2020-04-30,106498,7099
50,2020-05-01,114431,7933
51,2020-05-02,124054,9623
52,2020-05-03,134687,10633
53,2020-05-04,145268,10581
54,2020-05-05,155370,10102
55,2020-05-06,165929,10559
56,2020-05-07,177160,11231
57,2020-05-08,187859,10699
58,2020-05-09,198676,10817
59,2020-05-10,209688,11012
60,2020-05-11,221344,11656
61,2020-05-12,232243,10899
62,2020-05-13,242271,10028
63,2020-05-14,252245,9974
64,2020-05-15,262843,10598
65,2020-05-16,272043,9200
66,2020-05-17,281752,9709
67,2020-05-18,290678,8926
68,2020-05-19,299941,9263
69,2020-05-20,308705,8764
70,2020-05-21,317554,8849
71,2020-05-22,326448,8894
72,2020-05-23,335882,9434
73,2020-05-24,344481,8599
74,2020-05-25,353427,8946
75,2020-05-26,362342,8915
76,2020-05-27,370680,8338
77,2020-05-28,379051,8371
78,2020-05-29,387623,8572
79,2020-05-30,396575,8952
80,2020-05-31,405843,9268
81,2020-06-01,414878,9035
82,2020-06-02,423741,8863
83,2020-06-03,432277,8536
84,2020-06-04,441108,8831
85,2020-06-05,449834,8726
86,2020-06-06,458689,8855
87,2020-06-07,467673,8984
88,2020-06-08,476658,8985
89,2020-06-09,485253,8595
90,2020-06-10,493657,8404
91,2020-06-11,502436,8779
92,2020-06-12,511423,8987
93,2020-06-13,520129,8706
94,2020-06-14,528964,8835
95,2020-06-15,537210,8246
96,2020-06-16,545458,8248
97,2020-06-17,553301,7843
